Id,Label,Layer,label_text,label_x,label_y,font_size
L2::软件工程,软件工程,二级学科,软件工程,1062.9125138702493,258.8981877404334,10
L2::电气工程,电气工程,二级学科,电气工程,772.5700161345331,512.2884256870699,10
L2::计算机技术,计算机技术,二级学科,计算机技术,1152.8638676395,836.199713090775,10
L2::机械（机械学院）,机械（机械学院）,二级学科,机械（机械学院）,645.9071452017521,418.66881831009164,10
L2::人工智能,人工智能,二级学科,人工智能,975.1297437226616,706.2709308649487,10
L2::药学,药学,二级学科,药学,1056.68889913975,351.4302472650739,10
L2::电子信息（控制学院）,电子信息（控制学院）,二级学科,电子信息（控制学<br>院）,737.7027259884618,718.2275760930644,10
L2::内科学,内科学,二级学科,内科学,1286.0491760192133,502.5116892141638,10
L2::法律（非法学）,法律（非法学）,二级学科,法律（非法学）,1255.48849559887,353.4481083929027,10
L2::电子信息（集成电路学院）,电子信息（集成电路学院）,二级学科,电子信息（集成电<br>路学院）,986.4012754343001,233.3637269320104,10
L2::材料与化工（材料学院）,材料与化工（材料学院）,二级学科,材料与化工（材料<br>学院）,1298.087376520068,642.0823259605171,10
L2::外科学,外科学,二级学科,外科学,1106.7272752354231,288.5149923175977,10
L2::土木工程,土木工程,二级学科,土木工程,1257.8811780779135,707.9066180781817,10
L2::金融,金融,二级学科,金融,871.101465820659,657.3024078787994,10
L2::能源动力（能源学院）,能源动力（能源学院）,二级学科,能源动力（能源学<br>院）,1058.3488508830105,235.1500503348501,10
L2::材料与化工（化工学院）,材料与化工（化工学院）,二级学科,材料与化工（化工<br>学院）,1127.0097533897408,816.3967417056899,10
L2::农艺与种业,农艺与种业,二级学科,农艺与种业,722.3613592797163,421.81327847964906,10
L2::工商管理,工商管理,二级学科,工商管理,1319.5909699271422,432.0381440469561,10
L2::电子信息（信电学院）,电子信息（信电学院）,二级学科,电子信息（信电学<br>院）,813.2583611109449,804.6291893930097,10
L2::公共卫生,公共卫生,二级学科,公共卫生,751.2475169596129,362.39055691110525,10
L2::口腔医学,口腔医学,二级学科,口腔医学,1189.8868430611585,851.6698676035755,10
L2::电子信息（光电学院）,电子信息（光电学院）,二级学科,电子信息（光电学<br>院）,1037.3959024408628,886.8903811591341,10
L2::大数据技术与工程,大数据技术与工程,二级学科,大数据技术与工程,1203.2667358664157,413.81994400342467,10
L2::建筑,建筑,二级学科,建筑,918.9474667688559,358.0179037377456,10
L2::资源利用与植物保护,资源利用与植物保护,二级学科,资源利用与植物保<br>护,916.0391250935207,260.5939020711333,10
L2::食品工程,食品工程,二级学科,食品工程,1241.6650458640563,525.5007404476082,10
L2::工业设计工程,工业设计工程,二级学科,工业设计工程,1007.4868896326498,406.1354906740267,10
L2::畜牧,畜牧,二级学科,畜牧,1305.3003320282735,577.112583431025,10
L2::资源与环境（环资学院）,资源与环境（环资学院）,二级学科,资源与环境（环资<br>学院）,714.6869592135464,386.6033820699068,10
L2::化学工程,化学工程,二级学科,化学工程,1176.8444699289446,629.7413650620667,10
L2::应用心理,应用心理,二级学科,应用心理,775.3680014616152,778.4044565972052,10
L2::电子信息（生仪学院）,电子信息（生仪学院）,二级学科,电子信息（生仪学<br>院）,621.3962038434781,640.3282607419908,10
L2::会计,会计,二级学科,会计,860.5804695850935,724.3177891723227,10
L2::动力工程,动力工程,二级学科,动力工程,1159.1145040514384,383.6053648611346,10
L2::新一代电子信息技术（含量子技术等）,新一代电子信息技术（含量子技术等）,二级学科,新一代电子信息技<br>术（含量子技术…,774.4370073957944,747.1238601902451,10
L2::戏剧与影视,戏剧与影视,二级学科,戏剧与影视,620.5311247588583,610.6371926212353,10
L2::教育管理,教育管理,二级学科,教育管理,679.304789664191,725.0177883377371,10
L2::控制工程,控制工程,二级学科,控制工程,836.7099513010835,658.6228581066846,10
L2::材料工程,材料工程,二级学科,材料工程,1077.3077622110618,607.9070944019743,10
L2::兽医,兽医,二级学科,兽医,1252.42229141197,561.5510334648884,10
L2::电子信息（海洋学院）,电子信息（海洋学院）,二级学科,电子信息（海洋学<br>院）,702.9062961208999,521.3630965439328,10
L2::护理,护理,二级学科,护理,1189.3117823392884,299.78837770024234,10
L2::机械工程,机械工程,二级学科,机械工程,926.6655641029963,761.8339522017823,10
L2::土木水利（海洋学院）,土木水利（海洋学院）,二级学科,土木水利（海洋学<br>院）,677.1805690397091,456.11334948883155,10
L2::网络与信息安全,网络与信息安全,二级学科,网络与信息安全,1145.4724916736432,727.1177005028227,10
L2::新闻与传播,新闻与传播,二级学科,新闻与传播,1127.9424390960348,862.8217075264637,10
P::临床医学专项,临床医学专项,培养项目,临床医学专项,842.4758641786847,270.2205726051307,10
P::智慧土木水利,智慧土木水利,培养项目,智慧土木水利,1282.0244792075273,753.2639757592045,10
P::应用复合型法律硕士,应用复合型法律硕士,培养项目,应用复合型法律硕<br>士,1243.2943222488373,300.5724356382238,10
P::绿色化工与生物医药先进制造,绿色化工与生物医药先进制造,培养项目,绿色化工与生物医<br>药先进制造,1326.9529979785407,530.0650170960251,10
P::口腔医学专项,口腔医学专项,培养项目,口腔医学专项,1283.772751016869,730.5810568081133,10
P::中小学学科教学与教育管理,中小学学科教学与教育管理,培养项目,中小学学科教学与<br>教育管理,668.7034435887579,747.5929141066592,10
P::先进制造,先进制造,培养项目,先进制造,684.4755930494275,479.2222217440636,10
P::公共卫生专硕,公共卫生专硕,培养项目,公共卫生专硕,821.0486626906885,235.71430480187126,10
P::高端集成电路芯片设计与制造,高端集成电路芯片设计与制造,培养项目,高端集成电路芯片<br>设计与制造,732.8650481773336,685.9406092613532,10
P::空天会聚工程,空天会聚工程,培养项目,空天会聚工程,1158.1303266260668,550.8145599682476,10
P::区块链技术与平台,区块链技术与平台,培养项目,区块链技术与平台,1266.7003538531665,339.2306679675133,10
P::数据科学与工程,数据科学与工程,培养项目,数据科学与工程,1136.6209355285193,269.77107095930626,10
P::智慧农业,智慧农业,培养项目,智慧农业,660.8335476283185,556.380211297993,10
P::面向工业智能的机器学习关键技术与平台,面向工业智能的机器学习关键技术与平台,培养项目,面向工业智能的机<br>器学习关键技术…,952.1196387688975,193.30310698002376,10
P::MBA专硕,MBA专硕,培养项目,MBA专硕,1320.793194278255,476.6874375992624,10
P::MPAcc专硕,MPAcc专硕,培养项目,MPAcc专硕,882.69986830896,289.41226951967957,10
P::iMF专硕,iMF专硕,培养项目,iMF专硕,964.2668292009187,849.2498299218562,10
P::智能农业工程与食品先进制造,智能农业工程与食品先进制造,培养项目,智能农业工程与食<br>品先进制造,1289.6740726466137,834.2548906209356,10
P::生态环境协同治理,生态环境协同治理,培养项目,生态环境协同治理,861.4137339590925,209.7606842320485,10
P::新型计算架构与智能系统,新型计算架构与智能系统,培养项目,新型计算架构与智<br>能系统,1260.0740991325438,773.5535796617382,10
P::国际化智能产品设计与创新创业,国际化智能产品设计与创新创业,培养项目,国际化智能产品设<br>计与创新创业,1028.4594652537874,289.12459867511313,10
P::全球制造与供应链管理,全球制造与供应链管理,培养项目,全球制造与供应链<br>管理,1306.524230546188,396.6836609811643,10
P::转化药学,转化药学,培养项目,转化药学,702.9170131825439,627.9104765329096,10
P::数字孪生技术与应用,数字孪生技术与应用,培养项目,数字孪生技术与应<br>用,1149.9207503470245,242.6303868690058,10
P::金融基础软件,金融基础软件,培养项目,金融基础软件,1015.6256310595717,256.2082982316027,10
