Id,Label,Layer,People,Degree,WeightedDegree,x_opt,y_opt,marker_size_opt
P::临床医学专项,临床医学专项,培养项目,1286,27,1286,872.3591965125742,312.8983941125872,35.0
P::智慧土木水利,智慧土木水利,培养项目,327,4,327,1231.7203521677402,718.0406468028868,35.0
P::应用复合型法律硕士,应用复合型法律硕士,培养项目,302,2,302,1193.899453978211,335.15909475019185,35.0
P::绿色化工与生物医药先进制造,绿色化工与生物医药先进制造,培养项目,242,2,242,1278.4686517652137,564.014121799766,32.77691561988446
P::口腔医学专项,口腔医学专项,培养项目,219,1,219,1234.8833991033828,764.8137495561238,31.54575695400079
P::中小学学科教学与教育管理,中小学学科教学与教育管理,培养项目,195,3,195,668.7034435887579,627.0579348618677,30.189958489583013
P::先进制造,先进制造,培养项目,190,1,190,736.4332491692137,515.6033642268457,29.897172565282116
P::公共卫生专硕,公共卫生专硕,培养项目,182,1,182,821.0486626906885,332.9045960294695,29.420582455196463
P::高端集成电路芯片设计与制造,高端集成电路芯片设计与制造,培养项目,175,2,175,779.800371295305,653.0761422058412,28.994899555455078
P::空天会聚工程,空天会聚工程,培养项目,161,2,161,1111.9123451595642,616.8206780752773,28.117183375698403
P::区块链技术与平台,区块链技术与平台,培养项目,154,3,154,1168.9984499463355,407.642277580517,27.664003126145623
P::数据科学与工程,数据科学与工程,培养项目,152,1,152,1136.6209355285193,377.4973910312591,27.532640143905663
P::智慧农业,智慧农业,培养项目,149,1,149,734.0205298397984,556.380211297993,27.333964422959827
P::面向工业智能的机器学习关键技术与平台,面向工业智能的机器学习关键技术与平台,培养项目,147,3,147,952.1196387688975,312.3433074068583,27.200400853669105
P::MBA专硕,MBA专硕,培养项目,141,1,141,1282.4311125823835,476.6874375992624,26.794163391743037
P::MPAcc专硕,MPAcc专硕,培养项目,140,1,140,882.69986830896,358.02008083478506,26.725622630211024
P::iMF专硕,iMF专硕,培养项目,138,1,138,964.2668292009187,780.4539285368971,26.587802769918085
P::智能农业工程与食品先进制造,智能农业工程与食品先进制造,培养项目,133,2,133,1192.5558899879595,766.2520070261185,26.238818992757206
P::生态环境协同治理,生态环境协同治理,培养项目,132,1,132,917.4201001632563,289.7460644913939,26.168239386062183
P::新型计算架构与智能系统,新型计算架构与智能系统,培养项目,121,2,121,1163.310339214346,705.7988655415015,25.373478442300474
P::国际化智能产品设计与创新创业,国际化智能产品设计与创新创业,培养项目,120,2,120,1096.192954011485,385.85804563410846,25.299467861691397
P::全球制造与供应链管理,全球制造与供应链管理,培养项目,116,1,116,1251.2240826290467,396.6836609811643,25.000295834282497
