Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::临床医学专项,L2::临床医学,Undirected,培养项目-二级学科,1,overall,临床医学专项,,临床医学
P::临床医学专项,L2::临床检验诊断学,Undirected,培养项目-二级学科,13,overall,临床医学专项,,临床检验诊断学
P::临床医学专项,L2::临床病理,Undirected,培养项目-二级学科,19,overall,临床医学专项,,临床病理
P::临床医学专项,L2::儿外科学,Undirected,培养项目-二级学科,31,overall,临床医学专项,,儿外科学
P::临床医学专项,L2::儿科学,Undirected,培养项目-二级学科,87,overall,临床医学专项,,儿科学
P::临床医学专项,L2::全科医学,Undirected,培养项目-二级学科,13,overall,临床医学专项,,全科医学
P::临床医学专项,L2::内科学,Undirected,培养项目-二级学科,304,overall,临床医学专项,,内科学
P::临床医学专项,L2::医学遗传学,Undirected,培养项目-二级学科,6,overall,临床医学专项,,医学遗传学
P::临床医学专项,L2::外科学,Undirected,培养项目-二级学科,283,overall,临床医学专项,,外科学
P::临床医学专项,L2::妇产科学,Undirected,培养项目-二级学科,73,overall,临床医学专项,,妇产科学
P::临床医学专项,L2::康复医学与理疗学,Undirected,培养项目-二级学科,6,overall,临床医学专项,,康复医学与理疗学
P::临床医学专项,L2::急诊医学,Undirected,培养项目-二级学科,15,overall,临床医学专项,,急诊医学
P::临床医学专项,L2::放射影像学,Undirected,培养项目-二级学科,24,overall,临床医学专项,,放射影像学
P::临床医学专项,L2::放射肿瘤学,Undirected,培养项目-二级学科,5,overall,临床医学专项,,放射肿瘤学
P::临床医学专项,L2::核医学,Undirected,培养项目-二级学科,3,overall,临床医学专项,,核医学
P::临床医学专项,L2::皮肤病与性病学,Undirected,培养项目-二级学科,18,overall,临床医学专项,,皮肤病与性病学
P::临床医学专项,L2::眼科学,Undirected,培养项目-二级学科,39,overall,临床医学专项,,眼科学
P::临床医学专项,L2::神经病学,Undirected,培养项目-二级学科,59,overall,临床医学专项,,神经病学
P::临床医学专项,L2::精神病与精神卫生学,Undirected,培养项目-二级学科,30,overall,临床医学专项,,精神病与精神卫生学
P::临床医学专项,L2::老年医学,Undirected,培养项目-二级学科,7,overall,临床医学专项,,老年医学
P::临床医学专项,L2::耳鼻咽喉科学,Undirected,培养项目-二级学科,13,overall,临床医学专项,,耳鼻咽喉科学
P::临床医学专项,L2::肿瘤学,Undirected,培养项目-二级学科,65,overall,临床医学专项,,肿瘤学
P::临床医学专项,L2::超声医学,Undirected,培养项目-二级学科,15,overall,临床医学专项,,超声医学
P::临床医学专项,L2::运动医学,Undirected,培养项目-二级学科,6,overall,临床医学专项,,运动医学
P::临床医学专项,L2::重症医学,Undirected,培养项目-二级学科,29,overall,临床医学专项,,重症医学
P::临床医学专项,L2::骨科学,Undirected,培养项目-二级学科,80,overall,临床医学专项,,骨科学
P::临床医学专项,L2::麻醉学,Undirected,培养项目-二级学科,42,overall,临床医学专项,,麻醉学
P::临床药学,L2::药学,Undirected,培养项目-二级学科,69,overall,临床药学,,药学
P::乌鸡产业提升,L2::畜牧,Undirected,培养项目-二级学科,30,overall,乌鸡产业提升,,畜牧
P::云计算与边缘计算平台软件,L2::人工智能,Undirected,培养项目-二级学科,11,overall,云计算与边缘计算平台软件,,人工智能
P::云计算与边缘计算平台软件,L2::网络与信息安全,Undirected,培养项目-二级学科,1,overall,云计算与边缘计算平台软件,,网络与信息安全
P::云计算与边缘计算平台软件,L2::计算机技术,Undirected,培养项目-二级学科,55,overall,云计算与边缘计算平台软件,,计算机技术
P::产业需求导向的集成系统及其应用,L2::电子信息（集成电路学院）,Undirected,培养项目-二级学科,82,overall,产业需求导向的集成系统及其应用,,电子信息（集成电路学院）
P::产业需求导向的集成系统及其应用,L2::集成电路工程,Undirected,培养项目-二级学科,11,overall,产业需求导向的集成系统及其应用,,集成电路工程
P::产品服务操作系统关键技术与平台,L2::人工智能,Undirected,培养项目-二级学科,23,overall,产品服务操作系统关键技术与平台,,人工智能
