Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::AI+X科学计算平台,L1::电子信息,Undirected,培养项目-一级学科,69,overall,AI+X科学计算平台,电子信息,
P::AI海洋工程安全保障技术与应用,L1::土木水利,Undirected,培养项目-一级学科,28,overall,AI海洋工程安全保障技术与应用,土木水利,
P::AI海洋工程安全保障技术与应用,L1::电子信息,Undirected,培养项目-一级学科,12,overall,AI海洋工程安全保障技术与应用,电子信息,
P::GF通信与信号处理技术,L1::电子信息,Undirected,培养项目-一级学科,16,overall,GF通信与信号处理技术,电子信息,
P::MBA专硕,L1::工商管理,Undirected,培养项目-一级学科,141,overall,MBA专硕,工商管理,
P::MPAcc专硕,L1::会计,Undirected,培养项目-一级学科,140,overall,MPAcc专硕,会计,
P::NGICS大平台工业控制系统综合安全,L1::电子信息,Undirected,培养项目-一级学科,26,overall,NGICS大平台工业控制系统综合安全,电子信息,
P::NGICS大平台工业控制系统综合安全,L1::能源动力,Undirected,培养项目-一级学科,3,overall,NGICS大平台工业控制系统综合安全,能源动力,
P::iMDS专硕,L1::电子信息,Undirected,培养项目-一级学科,40,overall,iMDS专硕,电子信息,
P::iMF专硕,L1::金融,Undirected,培养项目-一级学科,138,overall,iMF专硕,金融,
P::“一带一路”临床医学,L1::临床医学,Undirected,培养项目-一级学科,16,overall,“一带一路”临床医学,临床医学,
P::“双碳”高分子新材料,L1::材料与化工,Undirected,培养项目-一级学科,24,overall,“双碳”高分子新材料,材料与化工,
P::一流税务师,L1::税务,Undirected,培养项目-一级学科,42,overall,一流税务师,税务,
P::专用通信系统设计,L1::电子信息,Undirected,培养项目-一级学科,40,overall,专用通信系统设计,电子信息,
P::中国书画创作的当代传承与社会美育,L1::美术与书法,Undirected,培养项目-一级学科,12,overall,中国书画创作的当代传承与社会美育,美术与书法,
P::中国历代绘画大系,L1::博物馆,Undirected,培养项目-一级学科,2,overall,中国历代绘画大系,博物馆,
P::中国历代绘画大系,L1::机械,Undirected,培养项目-一级学科,13,overall,中国历代绘画大系,机械,
P::中国历代绘画大系,L1::电子信息,Undirected,培养项目-一级学科,16,overall,中国历代绘画大系,电子信息,
P::中国历代绘画大系,L1::美术与书法,Undirected,培养项目-一级学科,22,overall,中国历代绘画大系,美术与书法,
P::中小学学科教学与教育管理,L1::教育,Undirected,培养项目-一级学科,195,overall,中小学学科教学与教育管理,教育,
P::临床医学专项,L1::临床医学,Undirected,培养项目-一级学科,1286,overall,临床医学专项,临床医学,
P::临床药学,L1::药学,Undirected,培养项目-一级学科,69,overall,临床药学,药学,
P::乌鸡产业提升,L1::农业,Undirected,培养项目-一级学科,30,overall,乌鸡产业提升,农业,
P::云计算与边缘计算平台软件,L1::电子信息,Undirected,培养项目-一级学科,67,overall,云计算与边缘计算平台软件,电子信息,
P::产业需求导向的集成系统及其应用,L1::电子信息,Undirected,培养项目-一级学科,93,overall,产业需求导向的集成系统及其应用,电子信息,
P::产品服务操作系统关键技术与平台,L1::电子信息,Undirected,培养项目-一级学科,95,overall,产品服务操作系统关键技术与平台,电子信息,
P::人工智能,L1::机械,Undirected,培养项目-一级学科,1,overall,人工智能,机械,
P::人工智能,L1::电子信息,Undirected,培养项目-一级学科,27,overall,人工智能,电子信息,
P::人工智能,L1::能源动力,Undirected,培养项目-一级学科,7,overall,人工智能,能源动力,
P::人工智能数字健康,L1::电子信息,Undirected,培养项目-一级学科,60,overall,人工智能数字健康,电子信息,
P::人工智能药学,L1::生物与医药,Undirected,培养项目-一级学科,13,overall,人工智能药学,生物与医药,
P::人工智能药学,L1::电子信息,Undirected,培养项目-一级学科,3,overall,人工智能药学,电子信息,
P::人工智能药学,L1::药学,Undirected,培养项目-一级学科,56,overall,人工智能药学,药学,
P::低温制冷,L1::能源动力,Undirected,培养项目-一级学科,22,overall,低温制冷,能源动力,
P::信息功能材料,L1::材料与化工,Undirected,培养项目-一级学科,39,overall,信息功能材料,材料与化工,
P::储能科学与工程,L1::材料与化工,Undirected,培养项目-一级学科,6,overall,储能科学与工程,材料与化工,
P::储能科学与工程,L1::电子信息,Undirected,培养项目-一级学科,2,overall,储能科学与工程,电子信息,
P::储能科学与工程,L1::能源动力,Undirected,培养项目-一级学科,12,overall,储能科学与工程,能源动力,
P::先进制造,L1::机械,Undirected,培养项目-一级学科,190,overall,先进制造,机械,
P::先进医药工程,L1::材料与化工,Undirected,培养项目-一级学科,5,overall,先进医药工程,材料与化工,
P::先进医药工程,L1::生物与医药,Undirected,培养项目-一级学科,15,overall,先进医药工程,生物与医药,
P::先进材料与高端制造,L1::机械,Undirected,培养项目-一级学科,3,overall,先进材料与高端制造,机械,
P::先进材料与高端制造,L1::材料与化工,Undirected,培养项目-一级学科,22,overall,先进材料与高端制造,材料与化工,
P::先进材料与高端制造,L1::电子信息,Undirected,培养项目-一级学科,11,overall,先进材料与高端制造,电子信息,
P::先进材料与高端制造,L1::能源动力,Undirected,培养项目-一级学科,5,overall,先进材料与高端制造,能源动力,
P::先进结构材料,L1::材料与化工,Undirected,培养项目-一级学科,43,overall,先进结构材料,材料与化工,
P::先进试验与测试,L1::机械,Undirected,培养项目-一级学科,6,overall,先进试验与测试,机械,
P::先进试验与测试,L1::电子信息,Undirected,培养项目-一级学科,2,overall,先进试验与测试,电子信息,
P::先进试验与测试,L1::能源动力,Undirected,培养项目-一级学科,1,overall,先进试验与测试,能源动力,
P::先进飞行器及空天动力,L1::机械,Undirected,培养项目-一级学科,37,overall,先进飞行器及空天动力,机械,
P::先进飞行器及空天动力,L1::电子信息,Undirected,培养项目-一级学科,12,overall,先进飞行器及空天动力,电子信息,
P::光学感知与成像,L1::电子信息,Undirected,培养项目-一级学科,32,overall,光学感知与成像,电子信息,
P::光电与纳米新材料及其高性能器件,L1::材料与化工,Undirected,培养项目-一级学科,68,overall,光电与纳米新材料及其高性能器件,材料与化工,
P::光电探测与遥感,L1::电子信息,Undirected,培养项目-一级学科,10,overall,光电探测与遥感,电子信息,
P::全球制造与供应链管理,L1::工商管理,Undirected,培养项目-一级学科,116,overall,全球制造与供应链管理,工商管理,
P::全球数字贸易,L1::国际商务,Undirected,培养项目-一级学科,34,overall,全球数字贸易,国际商务,
P::公共卫生+X,L1::公共卫生,Undirected,培养项目-一级学科,60,overall,公共卫生+X,公共卫生,
P::公共卫生专硕,L1::公共卫生,Undirected,培养项目-一级学科,182,overall,公共卫生专硕,公共卫生,
