Source,Target,Type,Relation,Weight,Year,Project,Level1,Level2
P::关键软件,L1::交通运输,Undirected,培养项目-一级学科,1,overall,关键软件,交通运输,
P::关键软件,L1::机械,Undirected,培养项目-一级学科,4,overall,关键软件,机械,
P::关键软件,L1::电子信息,Undirected,培养项目-一级学科,39,overall,关键软件,电子信息,
P::农业生物安全,L1::农业,Undirected,培养项目-一级学科,101,overall,农业生物安全,农业,
P::农业资源高效利用与保护,L1::农业,Undirected,培养项目-一级学科,77,overall,农业资源高效利用与保护,农业,
P::农作物现代生物育种,L1::农业,Undirected,培养项目-一级学科,107,overall,农作物现代生物育种,农业,
P::农村发展与乡村振兴,L1::农业,Undirected,培养项目-一级学科,30,overall,农村发展与乡村振兴,农业,
P::减污降碳协同治理,L1::能源动力,Undirected,培养项目-一级学科,14,overall,减污降碳协同治理,能源动力,
P::减污降碳绿色环境技术,L1::农业,Undirected,培养项目-一级学科,12,overall,减污降碳绿色环境技术,农业,
P::减污降碳绿色环境技术,L1::资源与环境,Undirected,培养项目-一级学科,28,overall,减污降碳绿色环境技术,资源与环境,
P::分布式智能电网,L1::能源动力,Undirected,培养项目-一级学科,41,overall,分布式智能电网,能源动力,
P::功能化学品智造工程,L1::材料与化工,Undirected,培养项目-一级学科,6,overall,功能化学品智造工程,材料与化工,
P::功能化学品智造工程,L1::生物与医药,Undirected,培养项目-一级学科,4,overall,功能化学品智造工程,生物与医药,
P::动物产品品质与安全,L1::兽医,Undirected,培养项目-一级学科,4,overall,动物产品品质与安全,兽医,
P::动物产品品质与安全,L1::农业,Undirected,培养项目-一级学科,9,overall,动物产品品质与安全,农业,
P::动物疫病防控与生物安全,L1::兽医,Undirected,培养项目-一级学科,11,overall,动物疫病防控与生物安全,兽医,
P::区块链与可信智能软件,L1::电子信息,Undirected,培养项目-一级学科,39,overall,区块链与可信智能软件,电子信息,
P::区块链技术与平台,L1::电子信息,Undirected,培养项目-一级学科,154,overall,区块链技术与平台,电子信息,
P::医疗健康创新工程,L1::机械,Undirected,培养项目-一级学科,1,overall,医疗健康创新工程,机械,
P::医疗健康创新工程,L1::材料与化工,Undirected,培养项目-一级学科,1,overall,医疗健康创新工程,材料与化工,
P::医疗健康创新工程,L1::电子信息,Undirected,培养项目-一级学科,8,overall,医疗健康创新工程,电子信息,
P::半导体,L1::机械,Undirected,培养项目-一级学科,1,overall,半导体,机械,
P::半导体,L1::材料与化工,Undirected,培养项目-一级学科,3,overall,半导体,材料与化工,
P::半导体,L1::电子信息,Undirected,培养项目-一级学科,23,overall,半导体,电子信息,
P::半导体,L1::能源动力,Undirected,培养项目-一级学科,4,overall,半导体,能源动力,
P::华为联培,L1::电子信息,Undirected,培养项目-一级学科,30,overall,华为联培,电子信息,
P::卓越风景园林师,L1::风景园林,Undirected,培养项目-一级学科,47,overall,卓越风景园林师,风景园林,
P::南昌研究院,L1::电子信息,Undirected,培养项目-一级学科,30,overall,南昌研究院,电子信息,
P::博物馆理论与科普实践,L1::博物馆,Undirected,培养项目-一级学科,45,overall,博物馆理论与科普实践,博物馆,
P::口腔医学专项,L1::口腔医学,Undirected,培养项目-一级学科,219,overall,口腔医学专项,口腔医学,
P::可再生能源基地送出及消纳,L1::能源动力,Undirected,培养项目-一级学科,41,overall,可再生能源基地送出及消纳,能源动力,
P::可再生能源高效利用,L1::能源动力,Undirected,培养项目-一级学科,87,overall,可再生能源高效利用,能源动力,
P::可持续智慧城市,L1::交通运输,Undirected,培养项目-一级学科,24,overall,可持续智慧城市,交通运输,
P::国际中文教育及中华文化传播,L1::国际中文教育,Undirected,培养项目-一级学科,17,overall,国际中文教育及中华文化传播,国际中文教育,
P::国际传播,L1::新闻与传播,Undirected,培养项目-一级学科,88,overall,国际传播,新闻与传播,
P::国际化智能产品设计与创新创业,L1::机械,Undirected,培养项目-一级学科,120,overall,国际化智能产品设计与创新创业,机械,
P::图形基础软件,L1::电子信息,Undirected,培养项目-一级学科,90,overall,图形基础软件,电子信息,
P::土木工程数字孪生与工业软件,L1::交通运输,Undirected,培养项目-一级学科,1,overall,土木工程数字孪生与工业软件,交通运输,
P::土木工程数字孪生与工业软件,L1::土木水利,Undirected,培养项目-一级学科,38,overall,土木工程数字孪生与工业软件,土木水利,
P::土木水利（海洋）,L1::土木水利,Undirected,培养项目-一级学科,39,overall,土木水利（海洋）,土木水利,
P::地球信息工程,L1::资源与环境,Undirected,培养项目-一级学科,44,overall,地球信息工程,资源与环境,
P::垂直领域大模型平台,L1::电子信息,Undirected,培养项目-一级学科,42,overall,垂直领域大模型平台,电子信息,
P::城市学院联培,L1::机械,Undirected,培养项目-一级学科,2,overall,城市学院联培,机械,
P::城市学院联培,L1::电子信息,Undirected,培养项目-一级学科,9,overall,城市学院联培,电子信息,
P::城市工程系统可持续,L1::土木水利,Undirected,培养项目-一级学科,29,overall,城市工程系统可持续,土木水利,
P::城市工程系统可持续,L1::机械,Undirected,培养项目-一级学科,2,overall,城市工程系统可持续,机械,
P::城市工程系统可持续,L1::电子信息,Undirected,培养项目-一级学科,2,overall,城市工程系统可持续,电子信息,
P::复杂组分固体燃料能源化利用,L1::能源动力,Undirected,培养项目-一级学科,12,overall,复杂组分固体燃料能源化利用,能源动力,
P::多能融合的新型能源系统,L1::能源动力,Undirected,培养项目-一级学科,59,overall,多能融合的新型能源系统,能源动力,
P::大健康高分子材料,L1::材料与化工,Undirected,培养项目-一级学科,10,overall,大健康高分子材料,材料与化工,
P::大尺寸半导体单晶材料与芯片,L1::材料与化工,Undirected,培养项目-一级学科,66,overall,大尺寸半导体单晶材料与芯片,材料与化工,
P::大尺寸半导体单晶材料与芯片,L1::能源动力,Undirected,培养项目-一级学科,12,overall,大尺寸半导体单晶材料与芯片,能源动力,
P::天姥实验室专项,L1::药学,Undirected,培养项目-一级学科,17,overall,天姥实验室专项,药学,
P::宁波理工联培,L1::机械,Undirected,培养项目-一级学科,2,overall,宁波理工联培,机械,
P::宁波理工联培,L1::电子信息,Undirected,培养项目-一级学科,18,overall,宁波理工联培,电子信息,
P::嵌入式系统与高端测试装备,L1::电子信息,Undirected,培养项目-一级学科,21,overall,嵌入式系统与高端测试装备,电子信息,
P::工业工程与管理,L1::工程管理,Undirected,培养项目-一级学科,31,overall,工业工程与管理,工程管理,
P::工业智能,L1::电子信息,Undirected,培养项目-一级学科,26,overall,工业智能,电子信息,
P::工业母机,L1::机械,Undirected,培养项目-一级学科,5,overall,工业母机,机械,
P::工业母机与智能制造,L1::机械,Undirected,培养项目-一级学科,107,overall,工业母机与智能制造,机械,
P::工业软件关键技术与系统,L1::电子信息,Undirected,培养项目-一级学科,87,overall,工业软件关键技术与系统,电子信息,
P::工程科学计算,L1::机械,Undirected,培养项目-一级学科,50,overall,工程科学计算,机械,
P::工程科学计算,L1::电子信息,Undirected,培养项目-一级学科,7,overall,工程科学计算,电子信息,
P::平衡建筑理论与工程实践,L1::土木水利,Undirected,培养项目-一级学科,18,overall,平衡建筑理论与工程实践,土木水利,
P::平衡建筑理论与工程实践,L1::城乡规划,Undirected,培养项目-一级学科,6,overall,平衡建筑理论与工程实践,城乡规划,
P::平衡建筑理论与工程实践,L1::建筑,Undirected,培养项目-一级学科,67,overall,平衡建筑理论与工程实践,建筑,
P::广播电视,L1::戏剧与影视,Undirected,培养项目-一级学科,74,overall,广播电视,戏剧与影视,
P::应用复合型法律硕士,L1::法律,Undirected,培养项目-一级学科,302,overall,应用复合型法律硕士,法律,
P::开放型经济与发展,L1::国际商务,Undirected,培养项目-一级学科,13,overall,开放型经济与发展,国际商务,
P::影视艺术与文化产业,L1::戏剧与影视,Undirected,培养项目-一级学科,19,overall,影视艺术与文化产业,戏剧与影视,
P::心理健康,L1::应用心理,Undirected,培养项目-一级学科,96,overall,心理健康,应用心理,
P::投资银行,L1::金融,Undirected,培养项目-一级学科,20,overall,投资银行,金融,
P::护理专项,L1::护理,Undirected,培养项目-一级学科,93,overall,护理专项,护理,
P::支撑“双碳”战略的新型电力系统,L1::能源动力,Undirected,培养项目-一级学科,38,overall,支撑“双碳”战略的新型电力系统,能源动力,
P::数字化高端制造技术及装备,L1::机械,Undirected,培养项目-一级学科,45,overall,数字化高端制造技术及装备,机械,
P::数字媒体艺术,L1::戏剧与影视,Undirected,培养项目-一级学科,20,overall,数字媒体艺术,戏剧与影视,
P::数字孪生技术与应用,L1::电子信息,Undirected,培养项目-一级学科,114,overall,数字孪生技术与应用,电子信息,
P::数字法治,L1::法律,Undirected,培养项目-一级学科,25,overall,数字法治,法律,
P::数字经济,L1::数字经济,Undirected,培养项目-一级学科,37,overall,数字经济,数字经济,
P::数字经济与三农现代化,L1::农业,Undirected,培养项目-一级学科,14,overall,数字经济与三农现代化,农业,
P::数字经济信息融合与泛在智能,L1::电子信息,Undirected,培养项目-一级学科,94,overall,数字经济信息融合与泛在智能,电子信息,
P::数字金融,L1::金融,Undirected,培养项目-一级学科,98,overall,数字金融,金融,
P::数工智造：新一代数据引擎与工业软件,L1::电子信息,Undirected,培养项目-一级学科,49,overall,数工智造：新一代数据引擎与工业软件,电子信息,
P::数据安全与智能安全,L1::电子信息,Undirected,培养项目-一级学科,89,overall,数据安全与智能安全,电子信息,
P::数据治理与智能分析技术研究,L1::电子信息,Undirected,培养项目-一级学科,113,overall,数据治理与智能分析技术研究,电子信息,
P::数据科学与工程,L1::电子信息,Undirected,培养项目-一级学科,152,overall,数据科学与工程,电子信息,
P::数智动保与动物诊疗,L1::兽医,Undirected,培养项目-一级学科,64,overall,数智动保与动物诊疗,兽医,
P::数智土木与交通,L1::交通运输,Undirected,培养项目-一级学科,10,overall,数智土木与交通,交通运输,
P::数智土木与交通,L1::土木水利,Undirected,培养项目-一级学科,28,overall,数智土木与交通,土木水利,
P::文化遗产与博物馆研究,L1::博物馆,Undirected,培养项目-一级学科,12,overall,文化遗产与博物馆研究,博物馆,
P::新一代信息通信技术,L1::电子信息,Undirected,培养项目-一级学科,14,overall,新一代信息通信技术,电子信息,
P::新一代光电融合成像技术与系统,L1::电子信息,Undirected,培养项目-一级学科,116,overall,新一代光电融合成像技术与系统,电子信息,
P::新一代核心功能器件及其应用,L1::机械,Undirected,培养项目-一级学科,12,overall,新一代核心功能器件及其应用,机械,
P::新一代核心功能器件及其应用,L1::能源动力,Undirected,培养项目-一级学科,47,overall,新一代核心功能器件及其应用,能源动力,
P::新型城镇化规划设计与建设,L1::城乡规划,Undirected,培养项目-一级学科,63,overall,新型城镇化规划设计与建设,城乡规划,
P::新型计算架构与智能系统,L1::电子信息,Undirected,培养项目-一级学科,121,overall,新型计算架构与智能系统,电子信息,
P::新型软件架构与系统,L1::电子信息,Undirected,培养项目-一级学科,28,overall,新型软件架构与系统,电子信息,
P::新材料,L1::土木水利,Undirected,培养项目-一级学科,3,overall,新材料,土木水利,
P::新材料,L1::机械,Undirected,培养项目-一级学科,2,overall,新材料,机械,
P::新材料,L1::材料与化工,Undirected,培养项目-一级学科,23,overall,新材料,材料与化工,
P::新材料,L1::电子信息,Undirected,培养项目-一级学科,3,overall,新材料,电子信息,
P::新材料,L1::能源动力,Undirected,培养项目-一级学科,1,overall,新材料,能源动力,
P::新能源材料与器件,L1::材料与化工,Undirected,培养项目-一级学科,57,overall,新能源材料与器件,材料与化工,
P::新能源汽车高功率密度SiC驱动电机系统,L1::能源动力,Undirected,培养项目-一级学科,5,overall,新能源汽车高功率密度SiC驱动电机系统,能源动力,
P::新能源电力系统及其智能化,L1::能源动力,Undirected,培养项目-一级学科,53,overall,新能源电力系统及其智能化,能源动力,
P::新能源电能变换装备和系统,L1::能源动力,Undirected,培养项目-一级学科,50,overall,新能源电能变换装备和系统,能源动力,
P::新药创制,L1::药学,Undirected,培养项目-一级学科,56,overall,新药创制,药学,
P::新药创制工程,L1::生物与医药,Undirected,培养项目-一级学科,38,overall,新药创制工程,生物与医药,
P::新药创制工程,L1::电子信息,Undirected,培养项目-一级学科,2,overall,新药创制工程,电子信息,
P::智慧与生态畜牧业,L1::农业,Undirected,培养项目-一级学科,46,overall,智慧与生态畜牧业,农业,
P::智慧交通,L1::交通运输,Undirected,培养项目-一级学科,21,overall,智慧交通,交通运输,
P::智慧光学,L1::电子信息,Undirected,培养项目-一级学科,46,overall,智慧光学,电子信息,
P::智慧农业,L1::农业,Undirected,培养项目-一级学科,149,overall,智慧农业,农业,
P::智慧土木水利,L1::土木水利,Undirected,培养项目-一级学科,327,overall,智慧土木水利,土木水利,
P::智慧工业元宇宙,L1::电子信息,Undirected,培养项目-一级学科,55,overall,智慧工业元宇宙,电子信息,
P::智慧建筑与低碳城市,L1::建筑,Undirected,培养项目-一级学科,110,overall,智慧建筑与低碳城市,建筑,
P::智慧环境,L1::材料与化工,Undirected,培养项目-一级学科,3,overall,智慧环境,材料与化工,
P::智慧环境,L1::生物与医药,Undirected,培养项目-一级学科,2,overall,智慧环境,生物与医药,
P::智慧环境,L1::资源与环境,Undirected,培养项目-一级学科,15,overall,智慧环境,资源与环境,
P::智慧能源,L1::土木水利,Undirected,培养项目-一级学科,2,overall,智慧能源,土木水利,
P::智慧能源,L1::机械,Undirected,培养项目-一级学科,3,overall,智慧能源,机械,
P::智慧能源,L1::材料与化工,Undirected,培养项目-一级学科,4,overall,智慧能源,材料与化工,
P::智慧能源,L1::电子信息,Undirected,培养项目-一级学科,18,overall,智慧能源,电子信息,
P::智慧能源,L1::能源动力,Undirected,培养项目-一级学科,72,overall,智慧能源,能源动力,
P::智慧能源,L1::资源与环境,Undirected,培养项目-一级学科,2,overall,智慧能源,资源与环境,
P::智能信息感知与控制,L1::电子信息,Undirected,培养项目-一级学科,71,overall,智能信息感知与控制,电子信息,
P::智能催化与绿色合成,L1::材料与化工,Undirected,培养项目-一级学科,20,overall,智能催化与绿色合成,材料与化工,
P::智能催化与绿色合成,L1::生物与医药,Undirected,培养项目-一级学科,10,overall,智能催化与绿色合成,生物与医药,
P::智能农业工程与食品先进制造,L1::机械,Undirected,培养项目-一级学科,52,overall,智能农业工程与食品先进制造,机械,
P::智能农业工程与食品先进制造,L1::生物与医药,Undirected,培养项目-一级学科,81,overall,智能农业工程与食品先进制造,生物与医药,
P::智能化软件工程,L1::电子信息,Undirected,培养项目-一级学科,66,overall,智能化软件工程,电子信息,
P::智能医疗技术及仪器工程,L1::电子信息,Undirected,培养项目-一级学科,22,overall,智能医疗技术及仪器工程,电子信息,
P::智能医药工程,L1::生物与医药,Undirected,培养项目-一级学科,10,overall,智能医药工程,生物与医药,
P::智能工业心理,L1::应用心理,Undirected,培养项目-一级学科,12,overall,智能工业心理,应用心理,
P::智能感知与检测,L1::电子信息,Undirected,培养项目-一级学科,22,overall,智能感知与检测,电子信息,
P::智能控制与先进技术,L1::电子信息,Undirected,培养项目-一级学科,30,overall,智能控制与先进技术,电子信息,
P::智能机器人一体化关节伺服电机系统,L1::能源动力,Undirected,培养项目-一级学科,5,overall,智能机器人一体化关节伺服电机系统,能源动力,
P::智能机器人与无人系统,L1::电子信息,Undirected,培养项目-一级学科,38,overall,智能机器人与无人系统,电子信息,
P::智能机器人技术与工程,L1::机械,Undirected,培养项目-一级学科,5,overall,智能机器人技术与工程,机械,
P::智能机器人技术与工程,L1::电子信息,Undirected,培养项目-一级学科,6,overall,智能机器人技术与工程,电子信息,
P::智能机器人技术与工程,L1::能源动力,Undirected,培养项目-一级学科,4,overall,智能机器人技术与工程,能源动力,
P::智能海洋土木工程,L1::土木水利,Undirected,培养项目-一级学科,17,overall,智能海洋土木工程,土木水利,
P::智能组织心理与行为,L1::应用心理,Undirected,培养项目-一级学科,45,overall,智能组织心理与行为,应用心理,
P::智能网联交通,L1::交通运输,Undirected,培养项目-一级学科,25,overall,智能网联交通,交通运输,
P::智能网联新能源运载工具,L1::能源动力,Undirected,培养项目-一级学科,14,overall,智能网联新能源运载工具,能源动力,
P::智能药学,L1::药学,Undirected,培养项目-一级学科,26,overall,智能药学,药学,
P::智能装备创新设计,L1::机械,Undirected,培养项目-一级学科,11,overall,智能装备创新设计,机械,
P::智能装备创新设计,L1::材料与化工,Undirected,培养项目-一级学科,7,overall,智能装备创新设计,材料与化工,
P::智能装备创新设计,L1::电子信息,Undirected,培养项目-一级学科,12,overall,智能装备创新设计,电子信息,
P::智能装备创新设计,L1::能源动力,Undirected,培养项目-一级学科,11,overall,智能装备创新设计,能源动力,
P::未来健康,L1::药学,Undirected,培养项目-一级学科,47,overall,未来健康,药学,
P::未来食品,L1::生物与医药,Undirected,培养项目-一级学科,18,overall,未来食品,生物与医药,
P::机器人与智能制造工程,L1::机械,Undirected,培养项目-一级学科,12,overall,机器人与智能制造工程,机械,
P::机器人与智能制造工程,L1::电子信息,Undirected,培养项目-一级学科,8,overall,机器人与智能制造工程,电子信息,
P::机器人伺服电机系统,L1::能源动力,Undirected,培养项目-一级学科,5,overall,机器人伺服电机系统,能源动力,
P::机械（海洋）,L1::机械,Undirected,培养项目-一级学科,54,overall,机械（海洋）,机械,
P::核科学与技术,L1::机械,Undirected,培养项目-一级学科,1,overall,核科学与技术,机械,
P::核科学与技术,L1::电子信息,Undirected,培养项目-一级学科,1,overall,核科学与技术,电子信息,
P::核科学与技术,L1::能源动力,Undirected,培养项目-一级学科,4,overall,核科学与技术,能源动力,
P::氢能、储能与动力过程节能,L1::能源动力,Undirected,培养项目-一级学科,95,overall,氢能、储能与动力过程节能,能源动力,
P::氢能科学与工程,L1::机械,Undirected,培养项目-一级学科,5,overall,氢能科学与工程,机械,
P::氢能科学与工程,L1::材料与化工,Undirected,培养项目-一级学科,14,overall,氢能科学与工程,材料与化工,
P::氢能科学与工程,L1::能源动力,Undirected,培养项目-一级学科,21,overall,氢能科学与工程,能源动力,
P::汽车工程及其智能化,L1::电子信息,Undirected,培养项目-一级学科,16,overall,汽车工程及其智能化,电子信息,
P::汽车工程及其智能化,L1::能源动力,Undirected,培养项目-一级学科,24,overall,汽车工程及其智能化,能源动力,
P::流程工业智能自动化,L1::电子信息,Undirected,培养项目-一级学科,95,overall,流程工业智能自动化,电子信息,
P::海南研究院,L1::电子信息,Undirected,培养项目-一级学科,2,overall,海南研究院,电子信息,
P::海南研究院,L1::能源动力,Undirected,培养项目-一级学科,5,overall,海南研究院,能源动力,
P::海洋智能机器人组网、运维与应用,L1::机械,Undirected,培养项目-一级学科,2,overall,海洋智能机器人组网、运维与应用,机械,
P::海洋智能机器人组网、运维与应用,L1::电子信息,Undirected,培养项目-一级学科,12,overall,海洋智能机器人组网、运维与应用,电子信息,
P::海洋智能装备与无人系统,L1::机械,Undirected,培养项目-一级学科,23,overall,海洋智能装备与无人系统,机械,
P::海洋生物资源利用,L1::生物与医药,Undirected,培养项目-一级学科,4,overall,海洋生物资源利用,生物与医药,
P::海洋电子与智能信息处理,L1::电子信息,Undirected,培养项目-一级学科,23,overall,海洋电子与智能信息处理,电子信息,
P::海洋碳增汇过程与技术,L1::资源与环境,Undirected,培养项目-一级学科,7,overall,海洋碳增汇过程与技术,资源与环境,
P::海洋风电工程,L1::土木水利,Undirected,培养项目-一级学科,5,overall,海洋风电工程,土木水利,
P::海洋风电工程,L1::机械,Undirected,培养项目-一级学科,5,overall,海洋风电工程,机械,
P::海洋风电工程,L1::电子信息,Undirected,培养项目-一级学科,1,overall,海洋风电工程,电子信息,
P::涉外法治,L1::法律,Undirected,培养项目-一级学科,19,overall,涉外法治,法律,
P::片上光学系统及仪器,L1::电子信息,Undirected,培养项目-一级学科,50,overall,片上光学系统及仪器,电子信息,
P::特种智能机器人,L1::电子信息,Undirected,培养项目-一级学科,73,overall,特种智能机器人,电子信息,
P::特色畜禽品种产业提升,L1::农业,Undirected,培养项目-一级学科,13,overall,特色畜禽品种产业提升,农业,
P::生态环境协同治理,L1::资源与环境,Undirected,培养项目-一级学科,132,overall,生态环境协同治理,资源与环境,
P::生成式智能设计与数字创意工程,L1::机械,Undirected,培养项目-一级学科,7,overall,生成式智能设计与数字创意工程,机械,
P::生成式智能设计与数字创意工程,L1::电子信息,Undirected,培养项目-一级学科,7,overall,生成式智能设计与数字创意工程,电子信息,
P::生物与医药（海洋）,L1::生物与医药,Undirected,培养项目-一级学科,8,overall,生物与医药（海洋）,生物与医药,
P::生物医药及高端医疗设备,L1::电子信息,Undirected,培养项目-一级学科,3,overall,生物医药及高端医疗设备,电子信息,
P::生物安全,L1::兽医,Undirected,培养项目-一级学科,22,overall,生物安全,兽医,
P::生物材料与医疗器械,L1::材料与化工,Undirected,培养项目-一级学科,15,overall,生物材料与医疗器械,材料与化工,
P::生物育种,L1::农业,Undirected,培养项目-一级学科,8,overall,生物育种,农业,
P::电力关键基础设施安全,L1::能源动力,Undirected,培养项目-一级学科,20,overall,电力关键基础设施安全,能源动力,
P::电子信息（海洋）,L1::电子信息,Undirected,培养项目-一级学科,50,overall,电子信息（海洋）,电子信息,
P::电气信息与智联网技术,L1::能源动力,Undirected,培养项目-一级学科,34,overall,电气信息与智联网技术,能源动力,
P::电气化运载装备与系统,L1::能源动力,Undirected,培养项目-一级学科,20,overall,电气化运载装备与系统,能源动力,
P::石窟文化,L1::博物馆,Undirected,培养项目-一级学科,17,overall,石窟文化,博物馆,
P::石窟文化,L1::美术与书法,Undirected,培养项目-一级学科,1,overall,石窟文化,美术与书法,
P::碳中和城市建设与生物质工程材料,L1::土木水利,Undirected,培养项目-一级学科,22,overall,碳中和城市建设与生物质工程材料,土木水利,
