Id,Label,timeset,院系,课程性质,课程体系,是否允许外院选课,上课语言,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
1913001,药物波谱解析,,药学院,专业选修课,通用课程,是,中文,16,1300,12,0.171598,0.181191,0.000114,51
1913002,药物设计学,,药学院,专业选修课,学术学位,是,中文,10,416,13,0.146735,0.153715,0,51
1913011,分子生物药剂学,,药学院,专业选修课,通用课程,是,中文,11,439,12,0.17157,0.180725,0,51
1913026,药物蛋白质组学,,药学院,专业选修课,学术学位,是,中文,7,277,12,0.171543,0.180259,0,51
1913027,新药发现理论与实践,,药学院,专业选修课,通用课程,是,中文,20,2233,12,0.171728,0.182018,0.000004,51
1913031,药物分析前沿技术,,药学院,专业选修课,学术学位,是,中文,7,129,13,0.146695,0.153326,0,51
1913039,现代药理学进展,,药学院,专业选修课,学术学位,是,中文,15,1124,12,0.171598,0.181113,0,51
1913040,细胞化学信息药理学,,药学院,专业选修课,学术学位,是,中文,10,562,12,0.171563,0.180609,0,51
1913042,肿瘤药理学前沿,,药学院,专业选修课,学术学位,是,中文,20,1938,12,0.171728,0.181941,0.000001,51
1913046,体内药物分析,,药学院,专业选修课,学术学位,是,中文,8,350,13,0.146755,0.153551,0.000001,51
1913047,药物代谢学,,药学院,专业选修课,学术学位,是,中文,12,746,12,0.171707,0.181261,0.001396,51
1913048,纳米给药系统,,药学院,专业选修课,通用课程,是,全外文,13,622,12,0.171584,0.180958,0.00006,51
1913049,药物信息学,,药学院,专业选修课,通用课程,是,中文,11,513,12,0.171749,0.181475,0.001336,51
1913050,药物毒理学研究前沿,,药学院,专业选修课,通用课程,是,中文,15,1186,12,0.171797,0.182057,0.004263,51
1913053,天然药物化学及化学生物学研究进展,,药学院,专业选修课,学术学位,是,双语,11,400,12,0.17157,0.180647,0,51
1913055,药学专业英语,,药学院,专业选修课,,是,中文,11,631,13,0.146725,0.153629,0.000382,51
1913056,现代有机合成化学,,药学院,专业选修课,通用课程,是,中文,8,462,13,0.146745,0.153792,0,51
1913061,药学科研方法概论,,药学院,专业选修课,,是,中文,4,37,14,0.127955,0.132033,0,51
1913062,生物大分子模拟,,药学院,专业选修课,通用课程,是,中文,20,1312,12,0.171653,0.181696,0.000061,51
1913064,功能性纳米医药材料,,药学院,专业选修课,通用课程,是,中文,10,220,12,0.171563,0.180609,0,51
1913065,医药学术交流实用英语,,药学院,专业选修课,通用课程,是,双语,8,209,12,0.17155,0.180453,0,51
1913070,神经药理学前沿,,药学院,专业选修课,通用课程,是,中文,12,575,12,0.17168,0.181203,0,51
1913071,结构生物学,,药学院,专业选修课,通用课程,是,中文,10,254,12,0.171556,0.180492,0,51
1913073,药理医药文献阅读与写作,,药学院,专业选修课,通用课程,是,中文,19,1930,12,0.171735,0.182057,0.000002,51
1913076,医药大数据科技,,药学院,专业选修课,通用课程,是,中文,15,543,12,0.171666,0.181222,0.000095,51
1921002,药物设计,,药学院,专业学位课,,是,中文,2,0,0,0,0,0,52
1921008,药用高分子材料学,,药学院,专业学位课,,是,中文,3,79,14,0.12799,0.132278,0,51
1921022,计算药物分析导论,,药学院,专业学位课,,是,中文,3,40,14,0.12802,0.132492,0,51
1921028,中药药理学前沿,,药学院,专业学位课,,是,中文,2,0,0,0,0,0,53
1921053,天然药物化学及化学生物学研究进展,,药学院,专业选修课,通用课程,是,双语,7,234,14,0.128043,0.133035,0.00038,51
1922001,药物波谱解析,,药学院,专业选修课,,是,中文,3,42,15,0.113512,0.11663,0,51
1922006,现代药剂学研究方法,,药学院,专业学位课,,是,中文,14,1523,13,0.14677,0.15427,0.001025,51
1922020,医药实验数据分析与处理,,药学院,专业学位课,,是,中文,7,547,14,0.128039,0.132996,0,51
1922027,现代药理学研究方法,,药学院,专业学位课,,是,中文,9,1431,14,0.128047,0.133229,0,51
1922032,现代中药学概论,,药学院,专业学位课,,是,中文,4,110,14,0.128024,0.132608,0,51
1922051,高等分子生物学,,药学院,专业学位课,,是,中文,15,1678,13,0.14677,0.15427,0.000771,51
1922052,高等药物分析,,药学院,专业学位课,,是,中文,17,1838,13,0.14681,0.154814,0.002302,51
1923007,物理药学,,药学院,专业选修课,通用课程,否,中文,6,260,12,0.171529,0.180181,0,51
1923008,药用高分子材料学,,药学院,专业选修课,通用课程,是,中文,14,1100,12,0.171598,0.181113,0,51
1923042,抗肿瘤药物分子作用靶点与高效筛选模型,,药学院,专业选修课,,是,中文,8,744,14,0.128039,0.132996,0,51
1923044,现代药理学实验技术,,药学院,专业选修课,,是,中文,6,521,14,0.128035,0.13288,0,51
1923062,药学实践,,药学院,专业选修课,,是,中文,13,1106,12,0.171604,0.181075,0.000073,51
1923063,药物基因组学,,药学院,专业选修课,通用课程,是,中文,8,196,12,0.17155,0.180376,0,51
1923075,先进制药技术,,药学院,专业选修课,通用课程,是,中文,2,0,0,0,0,0,54
1923078,中药药理学进展,,药学院,专业选修课,通用课程,否,中文,5,88,12,0.171508,0.179987,0,51
1941001,实用药物分析,,药学院,专业选修课,专业学位,是,中文,8,416,12,0.171406,0.179684,0,51
1941002,药物代谢和药物转运,,药学院,专业学位课,专业学位,是,中文,14,869,11,0.206426,0.219498,0.000949,51
2002001,研究生论文写作,,管理学院,专业学位课,专业学位,是,双语,17,1526,14,0.141193,0.149356,0.000098,57
2009509,精益创业,,管理学院,公共选修课,通用课程,是,中文,7,35,11,0.240975,0.262171,0.000067,4
2009510,技术创新管理,,管理学院,公共选修课,通用课程,是,双语,8,75,12,0.215429,0.235854,0.000584,210
2009512,技术创业,,管理学院,,,,中文,5,10,11,0.236735,0.256687,0,4
2009513,系统化创新方法,,管理学院,公共选修课,通用课程,是,中文,9,67,11,0.240462,0.264565,0.000063,4
2009514,创业管理,,管理学院,公共选修课,通用课程,是,中文,6,21,11,0.240381,0.26229,0.002791,4
2011018,工商管理理论前沿,,管理学院,专业学位课,学术学位,是,中文,8,521,15,0.123771,0.129083,0.000002,57
2011019,高级管理研究方法,,管理学院,专业学位课,学术学位,是,中文,20,1980,14,0.141203,0.149589,0.000479,57
2011020,高级微观经济学,,管理学院,专业学位课,学术学位,是,双语,23,2237,14,0.141226,0.150094,0.000006,57
2011021,高级计量经济学,,管理学院,专业学位课,学术学位,是,双语,27,2859,14,0.141245,0.15056,0.000011,57
